method,model,n_samples,f1,f1_best,auroc,auroc_lo,auroc_hi,beats_chance,total_cost_usd,avg_latency_s,flag_rate,hallucination_rate,n_questions
llm_judge,llama-3.1-8b-instant,1,0.33636363636363636,,,,,False,0.00523644,9.539891627399832,0.152,0.288,500
llm_judge,llama-3.3-70b-versatile,1,0.5,,,,,False,0.005319429999997899,2.1187045819999186,0.12,0.28,50
self_consistency,llama-3.1-8b-instant,1,0.0,0.4567901234567901,0.5,,,False,0.00235606,4.360844994400628,0.0,0.296,500
self_consistency,llama-3.1-8b-instant,3,0.4,0.4496124031007752,0.48529383195726083,0.4375763073882874,0.5301634545298829,False,0.007104579999999999,13.26505169040084,0.7,0.29,500
self_consistency,llama-3.1-8b-instant,5,0.40152963671128106,0.4567901234567901,0.4656883445945946,0.41179943116924905,0.5155977313017376,False,0.0121559,22.473654845201235,0.75,0.296,500
self_consistency,llama-3.1-8b-instant,10,0.39223300970873787,0.4447900466562986,0.4635560517913459,0.4066041280684633,0.516908725710941,False,0.02414764,45.02224902760057,0.744,0.286,500
self_consistency,llama-3.3-70b-versatile,1,0.0,0.4126984126984127,0.5,,,False,0.00247313,0.24633985999971628,0.0,0.26,50
self_consistency,llama-3.3-70b-versatile,3,0.16666666666666666,0.4126984126984127,0.4407484407484408,0.2754560810810811,0.6095386904761905,False,0.0073230099999986,3.252826845999225,0.22,0.26,50
self_consistency,llama-3.3-70b-versatile,5,0.2857142857142857,0.4126984126984127,0.4708939708939709,0.290406381302521,0.6585414246999611,False,0.012228979999999001,6.241899953998509,0.3,0.26,50
self_consistency,llama-3.3-70b-versatile,10,0.14814814814814814,0.4375,0.435515873015873,0.2785501930501931,0.6008653743028741,False,0.0243513099999986,13.728080333998369,0.26,0.28,50
semantic_entropy,llama-3.1-8b-instant,1,0.0,0.4567901234567901,0.5,,,False,0.00235606,4.360844994400628,0.0,0.296,500
semantic_entropy,llama-3.1-8b-instant,3,0.2943396226415094,0.4567901234567901,0.532228961916462,0.4781221966944763,0.5837205606613847,False,0.007104579999999999,13.26505169040084,0.234,0.296,500
semantic_entropy,llama-3.1-8b-instant,5,0.32989690721649484,0.4567901234567901,0.5256641584766585,0.4699316266603613,0.5797376802407829,False,0.0121559,22.473654845201235,0.286,0.296,500
semantic_entropy,llama-3.1-8b-instant,10,0.30303030303030304,0.4567901234567901,0.5202798679361179,0.4646303842985539,0.5768357865806751,False,0.02414764,45.02224902760057,0.232,0.296,500
semantic_entropy,llama-3.3-70b-versatile,1,0.0,0.4126984126984127,0.5,,,False,0.00247313,0.24633985999971628,0.0,0.26,50
semantic_entropy,llama-3.3-70b-versatile,3,0.13333333333333333,0.4126984126984127,0.5623700623700625,0.3988043206793206,0.7276621752231506,False,0.0073230099999986,3.252826845999225,0.04,0.26,50
semantic_entropy,llama-3.3-70b-versatile,5,0.13333333333333333,0.4126984126984127,0.5602910602910602,0.3780834165834166,0.7301739926739926,False,0.012228979999999001,6.241899953998509,0.04,0.26,50
semantic_entropy,llama-3.3-70b-versatile,10,0.0,0.46153846153846156,0.5883575883575884,0.42189635854341734,0.7574999999999998,False,0.0243513099999986,13.728080333998369,0.02,0.26,50
verbalized_confidence,llama-3.1-8b-instant,1,0.09900990099009901,0.5478260869565217,0.6208659473944009,0.5710184269638108,0.6695428073066158,True,0.0037243700000000003,5.84353675680043,0.056,0.348,500
verbalized_confidence,llama-3.3-70b-versatile,1,0.2857142857142857,0.4,0.6271929824561404,0.4437118055555556,0.8139637297535767,False,0.004163989999999999,0.2731437340003322,0.04,0.24,50
